start_bp	end_bp	ancID	childID
55229906	56502354	2	4518
56502354	60620187	1	4518
60620187	62726192	2	4518
62726192	64213099	1	4518
64213099	65224866	2	4518
65224866	67772945	1	4518
67772945	68546650	2	4518
68546650	73059593	1	4518
73059593	73423382	2	4518
73423382	75699432	1	4518
75699432	76983366	2	4518
76983366	77362332	1	4518
77362332	78563110	2	4518
78563110	81228932	1	4518
81228932	84667209	2	4518
84667209	84738988	1	4518
84738988	89620943	2	4518
89620943	94096508	1	4518
94096508	94800850	2	4518
94800850	95064371	1	4518
95064371	96855492	2	4518
96855492	100000001	1	4518
0	101435	2	16770
101435	1359612	1	16770
1359612	2168978	2	16770
2168978	8680336	1	16770
8680336	9581488	2	16770
9581488	10366827	1	16770
10366827	10557512	2	16770
10557512	21819438	1	16770
21819438	22284904	2	16770
22284904	22680028	1	16770
22680028	23196935	2	16770
23196935	24118764	1	16770
24118764	24977321	2	16770
24977321	29224520	1	16770
29224520	29747683	2	16770
29747683	33285047	1	16770
33285047	38682501	2	16770
38682501	43053525	1	16770
43053525	43078572	2	16770
43078572	43396963	1	16770
43396963	44040027	2	16770
44040027	56080163	1	16770
56080163	60445051	2	16770
60445051	62773636	1	16770
62773636	63084360	2	16770
63084360	64969448	1	16770
64969448	65294508	2	16770
65294508	71743248	1	16770
71743248	73328714	2	16770
73328714	75315414	1	16770
75315414	75714521	2	16770
75714521	77646468	1	16770
77646468	78083336	2	16770
78083336	84721139	1	16770
84721139	92838230	2	16770
92838230	92997789	1	16770
92997789	94157638	2	16770
94157638	94433611	1	16770
94433611	94800850	2	16770
94800850	95064371	1	16770
95064371	96855492	2	16770
96855492	100000001	1	16770
0	1737674	2	11548
1737674	3069752	1	11548
3069752	4666127	2	11548
4666127	10329899	1	11548
10329899	10692019	2	11548
10692019	14321977	1	11548
14321977	16760156	2	11548
16760156	24814552	1	11548
24814552	27872422	2	11548
27872422	27973013	1	11548
27973013	28357841	2	11548
28357841	31251811	1	11548
31251811	31869445	2	11548
31869445	34329391	1	11548
34329391	35042015	2	11548
35042015	35466170	1	11548
35466170	37120430	2	11548
37120430	38357971	1	11548
38357971	40481589	2	11548
40481589	42068007	1	11548
42068007	42870395	2	11548
42870395	44411281	1	11548
44411281	44496954	2	11548
44496954	51755566	1	11548
51755566	51772539	2	11548
51772539	54921868	1	11548
54921868	56824535	2	11548
56824535	64837955	1	11548
64837955	66607297	2	11548
66607297	73605546	1	11548
73605546	74882221	2	11548
74882221	85826398	1	11548
85826398	87771504	2	11548
87771504	89948383	1	11548
89948383	90569745	2	11548
90569745	91001090	1	11548
91001090	91017455	2	11548
91017455	94123016	1	11548
94123016	94681003	2	11548
94681003	94761809	1	11548
94761809	95316192	2	11548
95316192	95605929	1	11548
95605929	99541810	2	11548
99541810	100000001	1	11548
0	2053295	2	6020
2053295	2392092	1	6020
2392092	2731204	2	6020
2731204	5355110	1	6020
5355110	8236629	2	6020
8236629	9332723	1	6020
9332723	13662918	2	6020
13662918	14962578	1	6020
14962578	16682718	2	6020
16682718	19484272	1	6020
19484272	25337987	2	6020
25337987	36031650	1	6020
36031650	36269061	2	6020
36269061	39613242	1	6020
39613242	41001704	2	6020
41001704	51224412	1	6020
51224412	51527499	2	6020
51527499	52806816	1	6020
52806816	53071801	2	6020
53071801	64331312	1	6020
64331312	67980914	2	6020
67980914	69699166	1	6020
69699166	70213975	2	6020
70213975	71010739	1	6020
71010739	72811568	2	6020
72811568	74343433	1	6020
74343433	74733005	2	6020
74733005	76224968	1	6020
76224968	78428547	2	6020
78428547	81686493	1	6020
81686493	83739972	2	6020
83739972	85132456	1	6020
85132456	87677868	2	6020
87677868	87846120	1	6020
87846120	89144825	2	6020
89144825	89476045	1	6020
89476045	91147175	2	6020
91147175	91811557	1	6020
91811557	92521712	2	6020
92521712	94959844	1	6020
94959844	97045872	2	6020
97045872	99628984	1	6020
99628984	100000001	2	6020
0	117310	2	16333
117310	623990	1	16333
623990	835185	2	16333
835185	3805821	1	16333
3805821	5142767	2	16333
5142767	5498401	1	16333
5498401	7889499	2	16333
7889499	9343411	1	16333
9343411	10117180	2	16333
10117180	13397099	1	16333
13397099	14598835	2	16333
14598835	20814068	1	16333
20814068	21710350	2	16333
21710350	27333825	1	16333
27333825	29118278	2	16333
29118278	31189956	1	16333
31189956	31298798	2	16333
31298798	40622999	1	16333
40622999	41246332	2	16333
41246332	47057596	1	16333
47057596	47981263	2	16333
47981263	66017605	1	16333
66017605	66763070	2	16333
66763070	68296553	1	16333
68296553	71407418	2	16333
71407418	71819262	1	16333
71819262	72414012	2	16333
72414012	76703343	1	16333
76703343	77315967	2	16333
77315967	77595278	1	16333
77595278	82036540	2	16333
82036540	82881629	1	16333
82881629	84334733	2	16333
84334733	84335303	1	16333
84335303	86536352	2	16333
86536352	89775523	1	16333
89775523	91470307	2	16333
91470307	100000001	1	16333
0	309943	1	1780
309943	2026543	2	1780
2026543	4424680	1	1780
4424680	7801670	2	1780
7801670	8959141	1	1780
8959141	12871434	2	1780
12871434	14087343	1	1780
14087343	14263337	2	1780
14263337	15530248	1	1780
15530248	16324223	2	1780
16324223	22771126	1	1780
22771126	23485651	2	1780
23485651	27221400	1	1780
27221400	27506049	2	1780
27506049	29576412	1	1780
29576412	31316203	2	1780
31316203	35015908	1	1780
35015908	36990095	2	1780
36990095	40581820	1	1780
40581820	41327048	2	1780
41327048	46451013	1	1780
46451013	47162511	2	1780
47162511	56199959	1	1780
56199959	56258022	2	1780
56258022	66108954	1	1780
66108954	69696686	2	1780
69696686	74884169	1	1780
74884169	75068914	2	1780
75068914	75639174	1	1780
75639174	76553522	2	1780
76553522	78570824	1	1780
78570824	80099757	2	1780
80099757	80993493	1	1780
80993493	82001478	2	1780
82001478	82217803	1	1780
82217803	84192814	2	1780
84192814	85196345	1	1780
85196345	85762489	2	1780
85762489	87839573	1	1780
87839573	87999849	2	1780
87999849	88953793	1	1780
88953793	96290008	2	1780
96290008	98951039	1	1780
98951039	100000001	2	1780
0	233557	1	8304
233557	1951939	2	8304
1951939	6689501	1	8304
6689501	7978985	2	8304
7978985	8897658	1	8304
8897658	12020069	2	8304
12020069	13975275	1	8304
13975275	14129337	2	8304
14129337	21910441	1	8304
21910441	23915839	2	8304
23915839	24819819	1	8304
24819819	26010208	2	8304
26010208	26052052	1	8304
26052052	26607985	2	8304
26607985	27899604	1	8304
27899604	29949243	2	8304
29949243	30029701	1	8304
30029701	30855825	2	8304
30855825	32911316	1	8304
32911316	33277630	2	8304
33277630	40922447	1	8304
40922447	41694118	2	8304
41694118	43653153	1	8304
43653153	45989845	2	8304
45989845	50498997	1	8304
50498997	51558907	2	8304
51558907	54674970	1	8304
54674970	55766736	2	8304
55766736	60213528	1	8304
60213528	65619520	2	8304
65619520	69223343	1	8304
69223343	70387364	2	8304
70387364	74962449	1	8304
74962449	77935915	2	8304
77935915	79526359	1	8304
79526359	80425330	2	8304
80425330	81743554	1	8304
81743554	82412158	2	8304
82412158	91442435	1	8304
91442435	92606389	2	8304
92606389	94650533	1	8304
94650533	95027659	2	8304
95027659	96046962	1	8304
96046962	97432066	2	8304
97432066	98857401	1	8304
98857401	100000001	2	8304
0	189806	2	4603
189806	799328	1	4603
799328	1323554	2	4603
1323554	1764216	1	4603
1764216	3181511	2	4603
3181511	8968555	1	4603
8968555	12168983	2	4603
12168983	15101187	1	4603
15101187	19177678	2	4603
19177678	19589556	1	4603
19589556	21132721	2	4603
21132721	23599351	1	4603
23599351	26035551	2	4603
26035551	28489939	1	4603
28489939	29856189	2	4603
29856189	31291158	1	4603
31291158	31513985	2	4603
31513985	33064121	1	4603
33064121	34936360	2	4603
34936360	36024999	1	4603
36024999	37177036	2	4603
37177036	38204565	1	4603
38204565	39266585	2	4603
39266585	40043742	1	4603
40043742	42516274	2	4603
42516274	52556701	1	4603
52556701	52953390	2	4603
52953390	53950435	1	4603
53950435	54584850	2	4603
54584850	56252800	1	4603
56252800	56710383	2	4603
56710383	58909162	1	4603
58909162	60261089	2	4603
60261089	61105475	1	4603
61105475	62831694	2	4603
62831694	66974358	1	4603
66974358	70641523	2	4603
70641523	79219460	1	4603
79219460	81598348	2	4603
81598348	89084725	1	4603
89084725	90412124	2	4603
90412124	90572428	1	4603
90572428	94060805	2	4603
94060805	96661902	1	4603
96661902	97549421	2	4603
97549421	99580676	1	4603
